TAZ,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop,geometry
1,1,1,1,46,74,82,37,1,60,15,13,9,9,20.3,1,15,0.238,27318,3,7,31,27,14,224,21927,2137,2254,18,758,284.01965,932.83514,0,0,0,0,3,5.89564,0,46,1,8,"MULTIPOLYGON (((-122.3997 37.79223, -122.3999 37.79323, -122.4 37.79373, -122.4001 37.79413, -122.3989 37.79433, -122.3977 37.79443, -122.3965 37.79463, -122.3964 37.79373, -122.3961 37.79343, -122.3965 37.79313, -122.3973 37.79253, -122.3974 37.79233, -122.3983 37.79173, -122.3991 37.79103, -122.3995 37.79133, -122.3997 37.79223)))"
2,1,1,1,134,214,240,107,5,147,57,32,24,21,31.1,1,24.79297,0.238,42078,8,19,89,81,43,453,33422,4399,2948,56,800,269.6431,885.61682,0,0,0,0,1,5.84871,0,134,2,26,"MULTIPOLYGON (((-122.3997 37.79223, -122.3995 37.79133, -122.4007 37.79113, -122.4012 37.79113, -122.4024 37.79093, -122.4027 37.79093, -122.4036 37.79083, -122.4039 37.79073, -122.4042 37.79173, -122.4044 37.79263, -122.4045 37.79363, -122.4039 37.79363, -122.4029 37.79383, -122.4022 37.79383, -122.4013 37.79393, -122.4001 37.79413, -122.4 37.79373, -122.3999 37.79323, -122.3997 37.79223)))"
3,1,1,1,267,427,476,214,9,285,101,86,40,40,14.7,1,2.31799,0.238,2445,16,38,177,160,85,93,1159,950,211,0,32,218.08298,716.27252,0,0,0,0,1,5.53231,0,267,3,49,"MULTIPOLYGON (((-122.407 37.79032, -122.4071 37.79073, -122.4073 37.79133, -122.4073 37.79167, -122.4074 37.79233, -122.4067 37.79233, -122.4059 37.79253, -122.4054 37.79253, -122.4044 37.79263, -122.4042 37.79173, -122.4039 37.79073, -122.4043 37.79069, -122.4049 37.79063, -122.4051 37.7906, -122.4055 37.79053, -122.4063 37.79043, -122.407 37.79032)))"
4,1,1,1,151,239,253,117,6,210,52,47,30,22,19.3,1,18,0.238,22434,8,20,95,85,45,403,15430,3200,1907,116,1378,191,314,0,0,0,0,2,5.6433,0,151,4,14,"MULTIPOLYGON (((-122.4036 37.78943, -122.4037 37.78993, -122.4038 37.79033, -122.4039 37.79073, -122.4036 37.79083, -122.4027 37.79093, -122.4024 37.79093, -122.4012 37.79113, -122.4007 37.79113, -122.3995 37.79133, -122.3991 37.79103, -122.3999 37.79043, -122.4003 37.79013, -122.4013 37.78933, -122.4014 37.78924, -122.4017 37.78903, -122.4019 37.78882, -122.402 37.78873, -122.4027 37.78823, -122.4028 37.78811, -122.403 37.78783, -122.4033 37.78803, -122.4035 37.78853, -122.4035 37.78893, -122.4036 37.78943)))"
5,1,1,1,611,974,1069,476,22,671,223,180,104,104,52.7,1,15,0.238,15662,37,86,396,359,191,2175,6356,5443,1292,5,391,191.0087,314.01431,0,0,72.14684,0,1,5.52555,0,611,5,95,"MULTIPOLYGON (((-122.4084 37.78833, -122.4085 37.78933, -122.4086 37.7899, -122.4086 37.79023, -122.4078 37.79033, -122.4074 37.79033, -122.407 37.79032, -122.4063 37.79043, -122.4055 37.79053, -122.4051 37.7906, -122.4049 37.79063, -122.4043 37.79069, -122.4039 37.79073, -122.4038 37.79033, -122.4037 37.78993, -122.4036 37.78943, -122.4035 37.78893, -122.4035 37.78853, -122.4033 37.78803, -122.403 37.78783, -122.4035 37.78753, -122.4044 37.78683, -122.4057 37.78583, -122.406 37.78563, -122.4074 37.78453, -122.4075 37.78443, -122.4075 37.78454, -122.4076 37.78463, -122.4078 37.78553, -122.408 37.78653, -122.4082 37.78743, -122.4084 37.78833)))"
6,1,1,1,2240,3311,3963,2052,0,2406,843,699,399,299,29,7,8,0.142,3789,77,226,2311,944,405,151,924,1997,672,1,44,150,546,0,0,0,0,1,5.00004,0,2240,6,652,"MULTIPOLYGON (((-122.4151 37.78853, -122.4153 37.78943, -122.4145 37.78953, -122.4137 37.78963, -122.4121 37.78983, -122.4111 37.78999, -122.4103 37.79013, -122.4086 37.79023, -122.4086 37.7899, -122.4085 37.78933, -122.4084 37.78833, -122.41 37.78823, -122.4117 37.78803, -122.4122 37.78793, -122.4125 37.78787, -122.4128 37.78782, -122.4133 37.78773, -122.4148 37.78753, -122.4151 37.78853)))"
7,1,1,1,3762,5561,6032,3375,0,4174,1489,1036,647,590,45,13,14,0.191,11300,173,425,2689,1909,836,252,5535,4593,799,1,120,318.85754,933.24158,0,0,0,0,1,5.35435,0,3762,7,471,"MULTIPOLYGON (((-122.4094 37.78543, -122.4111 37.78513, -122.4119 37.78503, -122.4128 37.78493, -122.4143 37.78473, -122.4144 37.78505, -122.4146 37.78573, -122.4147 37.78663, -122.4148 37.78753, -122.4133 37.78773, -122.4128 37.78782, -122.4125 37.78787, -122.4122 37.78793, -122.4117 37.78803, -122.41 37.78823, -122.4084 37.78833, -122.4082 37.78743, -122.408 37.78653, -122.4078 37.78553, -122.4085 37.78543, -122.4086 37.78543, -122.4094 37.78543)))"
8,1,1,1,4582,7565,9907,3594,19,4898,2704,864,529,485,51,8.33042,15,0.25,4171,390,876,3159,3621,1861,344,1413,1690,648,7,69,138.6747,529.59387,0,0,0,0,2,4.64648,0,4582,8,2342,"MULTIPOLYGON (((-122.4119 37.78503, -122.4111 37.78513, -122.4094 37.78543, -122.4086 37.78543, -122.4085 37.78543, -122.4078 37.78553, -122.4076 37.78463, -122.4075 37.78454, -122.4075 37.78443, -122.408 37.78403, -122.4086 37.78348, -122.4088 37.78333, -122.409 37.7832, -122.41 37.78239, -122.4102 37.78223, -122.4104 37.78213, -122.4117 37.78098, -122.4118 37.78093, -122.4124 37.78043, -122.4132 37.77983, -122.4135 37.78003, -122.4136 37.78093, -122.4138 37.78193, -122.414 37.78283, -122.4143 37.78383, -122.4143 37.78473, -122.4128 37.78493, -122.4119 37.78503)))"
9,1,1,1,5545,9494,10171,4672,35,6032,2605,1318,846,776,112,9.79332,47,0.163,31248,416,1034,4851,2661,1209,123,8750,9500,12434,4,437,181.05391,299.21539,0,26.92893,2035.58118,20.60887,2,5.22542,0,5545,9,677,"MULTIPOLYGON (((-122.4194 37.77643, -122.4196 37.77743, -122.4197 37.77793, -122.4198 37.77833, -122.4202 37.78013, -122.4203 37.78063, -122.4204 37.78113, -122.4205 37.78163, -122.4206 37.78203, -122.4207 37.78253, -122.4208 37.78298, -122.4209 37.78346, -122.421 37.78393, -122.4194 37.78413, -122.4177 37.78433, -122.4161 37.78453, -122.4152 37.78463, -122.4143 37.78473, -122.4143 37.78383, -122.414 37.78283, -122.4138 37.78193, -122.4136 37.78093, -122.4135 37.78003, -122.4132 37.77983, -122.4147 37.77863, -122.4162 37.77743, -122.4175 37.77653, -122.4187 37.77563, -122.4192 37.77523, -122.4193 37.77553, -122.4194 37.77603, -122.4194 37.77643)))"
10,1,1,1,5344,9205,9308,5137,5,5663,3825,585,481,453,73.5,10.37666,35,0.14800000000000002,11172,266,822,4041,3280,899,139,3157,3008,4622,1,245,90.6058,277.92566,0,0,690.54974,0,3,4.73802,0,5344,10,103,"MULTIPOLYGON (((-122.4171 37.77433, -122.4175 37.77469, -122.4181 37.77523, -122.4187 37.77563, -122.4175 37.77653, -122.4162 37.77743, -122.4147 37.77863, -122.4132 37.77983, -122.4124 37.78043, -122.4119 37.78003, -122.4114 37.77963, -122.4109 37.77923, -122.4103 37.77883, -122.4099 37.77843, -122.4093 37.77793, -122.4098 37.77753, -122.4104 37.77703, -122.4109 37.77663, -122.4116 37.77623, -122.4129 37.77523, -122.4132 37.77503, -122.4137 37.77453, -122.414 37.77453, -122.4141 37.77443, -122.4145 37.77413, -122.4143 37.77403, -122.4155 37.77303, -122.416 37.77353, -122.4166 37.77393, -122.4171 37.77433)))"
